series_id,match_id,game_number,season,split,regional,stage,round,team,player_name,unique_id,best_of,source_file
342a80a9b6593c7b7b3e60ab00cabee8,20220122-170938-2021-22-Winter-Regional Event 1-Playoffs-LR1-G1,1,2021-22,Winter,Regional Event 1,Playoffs,LR1,ROYALTY ESPORTS,Zero,SSA-P-10066,5,2021-22 Season Database - 2021-22 Season (1).csv
3f9bbd6349c4b463a475d982a9461a02,20230224-182415-2022-23-Winter-Invitational-Groups-2-G1,1,2022-23,Winter,Invitational,Groups,2,DIGITAL DEVILS,BigFoot���,SSA-P-10004,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-182415-2022-23-Winter-Invitational-Groups-2-G1,1,2022-23,Winter,Invitational,Groups,2,DIGITAL DEVILS,Olympic.,SSA-P-10042,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-182415-2022-23-Winter-Invitational-Groups-2-G1,1,2022-23,Winter,Invitational,Groups,2,DIGITAL DEVILS,Syfohn.,SSA-P-10108,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-182415-2022-23-Winter-Invitational-Groups-2-G1,1,2022-23,Winter,Invitational,Groups,2,NIXUH,arceonxnz,SSA-P-10002,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-182415-2022-23-Winter-Invitational-Groups-2-G1,1,2022-23,Winter,Invitational,Groups,2,NIXUH,"Lowkaku, Mr.Low",SSA-P-10039,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-182415-2022-23-Winter-Invitational-Groups-2-G1,1,2022-23,Winter,Invitational,Groups,2,NIXUH,SkillSteal,SSA-P-10053,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-183149-2022-23-Winter-Invitational-Groups-2-G2,2,2022-23,Winter,Invitational,Groups,2,DIGITAL DEVILS,BigFoot���,SSA-P-10004,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-183149-2022-23-Winter-Invitational-Groups-2-G2,2,2022-23,Winter,Invitational,Groups,2,DIGITAL DEVILS,Olympic.,SSA-P-10042,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-183149-2022-23-Winter-Invitational-Groups-2-G2,2,2022-23,Winter,Invitational,Groups,2,DIGITAL DEVILS,Syfohn.,SSA-P-10108,5,2022-23 Season Database - 22-23 Season.csv
